fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2000,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,Zero value,Zero value,42,54,23883412,57
2011,59:26.2,Defense,ORG-2880,Less than $250 thousand,Deobligation,Deobligation,2,2,42905.64,2
2008,59:26.2,Defense,ORG-2835,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,16,22,2151610.4,22
2013,59:26.2,Defense,ORG-2825,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,2,12,2279244.484,14
2008,59:26.2,Defense,ORG-2940,Zero value,Zero value,$100 - <$500 million,1,1,0,1
2009,59:26.2,Defense,ORG-2944,Less than $250 thousand,Less than $250 thousand,Zero value,76,111,4414452.66,111
2006,59:26.2,Defense,ORG-2876,$100 - <$500 million,Zero value,Zero value,3,71,573940126,71
2009,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$1 - <$5 million,Zero value,3,10,1800082,11
2008,59:26.2,Defense,ORG-2787,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,353425.66,1
2011,59:26.2,Defense,ORG-2943,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,5,32,11211036.09,38
2013,59:26.2,Defense,ORG-2835,Zero value,Less than $250 thousand,$250 thousand - <$1 million,1,1,0,1
2004,59:26.2,Defense,ORG-2937,$1 - <$5 million,Zero value,Zero value,880,2154,1817503140,2194
2014,59:26.2,Defense,ORG-2875,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,7,30,66952627.35,30
2011,59:26.2,Defense,ORG-2877,Less than $250 thousand,Less than $250 thousand,Deobligation,420,948,22682182.29,950
2010,59:26.2,Defense,ORG-2825,Less than $250 thousand,Zero value,Zero value,770,1621,69885067.2,1632
2008,59:26.2,Defense,ORG-2937,Deobligation,Less than $250 thousand,Less than $250 thousand,36,59,-1671137.83,59
2008,59:26.2,Defense,ORG-2790,Zero value,NULL,Zero value,15,15,0,NULL
2010,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,48,109,24933763.93,109
2011,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,10,22,4084057.93,22
2011,59:26.2,Defense,ORG-4774,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,1,7,4887933.76,7
2012,59:26.2,Defense,NULL,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,3,22,2577154.84,22
2012,59:26.2,Defense,ORG-2942,$5 - <$25 million,$1 - <$5 million,Deobligation,1,6,5315860.32,7
2002,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1,1,400000,1
2011,59:26.2,Defense,ORG-2790,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1478,1604,77807354.07,1654
2007,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,2,2,1473170,2
2010,59:26.2,Defense,ORG-2944,Zero value,Zero value,Zero value,2451,3337,0,3341
2003,59:26.2,Defense,ORG-2880,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,1,4,3749194.8,4
2013,59:26.2,Defense,ORG-2945,Less than $250 thousand,Deobligation,Deobligation,13,40,897729.547,40
2006,59:26.2,Defense,ORG-2825,$5 - <$25 million,Zero value,Zero value,777,3670,7938524929,5443
2013,59:26.2,Defense,ORG-2825,$25 - <$100 million,$25 - <$100 million,Deobligation,1,5,57930416,5
2009,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,33,63,3681915.92,64
2004,59:26.2,Defense,ORG-2835,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,2,4,317232,4
2014,59:26.2,Defense,ORG-4383,Less than $250 thousand,Less than $250 thousand,Deobligation,61,189,4638760.559,189
2013,59:26.2,Defense,ORG-2877,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,34,382,335929880.5,385
2014,59:26.2,Defense,ORG-2838,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,10,19,4160214.448,19
2014,59:26.2,Defense,ORG-2834,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,55,480,642848137.3,535
2011,59:26.2,Defense,ORG-2941,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,1,6,4036726,6
2008,59:26.2,Defense,ORG-2839,Zero value,Less than $250 thousand,Zero value,1,2,0,2
2011,59:26.2,Defense,ORG-2939,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,3,14,26425953.53,14
2003,59:26.2,Defense,ORG-2939,Zero value,Zero value,$250 thousand - <$1 million,2,2,0,2
2008,59:26.2,Defense,ORG-2836,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,2,72635.81,2
2012,59:26.2,Defense,ORG-2872,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,13,16,2057078.56,16
2002,59:26.2,Defense,ORG-2872,Zero value,NULL,$100 - <$500 million,7,7,0,NULL
2008,59:26.2,Defense,ORG-2940,Zero value,NULL,Zero value,988,1426,0,NULL
2009,59:26.2,Defense,ORG-2941,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,1,2,239931,2
2002,59:26.2,Defense,ORG-2871,Less than $250 thousand,Zero value,Zero value,1006,1585,76257131,1585
2003,59:26.2,Defense,ORG-2876,Zero value,NULL,Less than $250 thousand,56,56,0,NULL
2011,59:26.2,Defense,ORG-2877,$5 - <$25 million,$25 - <$100 million,Zero value,1,7,17256727,7
2005,59:26.2,Defense,ORG-2837,Zero value,NULL,Less than $250 thousand,2,3,0,NULL
2009,59:26.2,Defense,ORG-2878,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1,4,217000,4
2004,59:26.2,Defense,ORG-2876,Zero value,Less than $250 thousand,Less than $250 thousand,24,30,0,30
2008,59:26.2,Defense,ORG-2872,$5 - <$25 million,Zero value,Zero value,49,464,478272189.6,464
2014,59:26.2,Defense,ORG-2835,Zero value,Deobligation,Deobligation,10,10,0,10
2011,59:26.2,Defense,ORG-2877,Zero value,Deobligation,Deobligation,56,73,0,73
2011,59:26.2,Defense,ORG-2880,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,1,10,1939878.82,10
2009,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2406,4325,1123665722,5794
2006,59:26.2,Defense,ORG-2944,$100 - <$500 million,Zero value,Zero value,3,25,611095202,25
2002,59:26.2,Defense,ORG-2943,$25 - <$100 million,Zero value,Zero value,5,13,306036799,13
2005,59:26.2,Defense,ORG-2834,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,10,19,18626479.54,19
2007,59:26.2,Defense,ORG-3960,$250 thousand - <$1 million,Zero value,Zero value,23,36,11401623,36
2006,59:26.2,Defense,ORG-2825,Zero value,NULL,$1 - <$5 million,19,22,0,NULL
2007,59:26.2,Defense,ORG-2773,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,15,378,28863053.27,380
2006,59:26.2,Defense,ORG-2939,Zero value,NULL,$5 - <$25 million,2,2,0,NULL
2006,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,62,88,28753701.95,88
2009,59:26.2,Defense,ORG-2776,Zero value,NULL,$5 - <$25 million,1,5,0,NULL
2013,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,Deobligation,Deobligation,15,49,7674124.98,49
2014,59:26.2,Defense,ORG-2841,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,1,2,2500000,2
2006,59:26.2,Defense,ORG-2939,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,4,4,3027533,5
2010,59:26.2,Defense,ORG-2781,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1007,1127,437854677.7,1127
2012,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,29,73,17150453.92,73
2005,59:26.2,Defense,ORG-2872,$250 thousand - <$1 million,$250 thousand - <$1 million,$100 - <$500 million,1,1,434000,1
2013,59:26.2,Defense,ORG-2882,$1 - <$5 million,Zero value,Zero value,2,7,3902278.656,7
2007,59:26.2,Defense,ORG-2777,Zero value,NULL,$5 - <$25 million,7,7,0,NULL
2013,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,35,86,19474878.53,87
2012,59:26.2,Defense,ORG-2940,Less than $250 thousand,Zero value,Zero value,97,176,4956743.75,176
2007,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,Zero value,Zero value,346,893,171386610.9,902
2011,59:26.2,Defense,ORG-2776,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,1,3,1428224.2,3
2011,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,Deobligation,Deobligation,5,42,2420011.08,42
2014,59:26.2,Defense,NULL,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,1,8,5621435.12,8
2013,59:26.2,Defense,ORG-2877,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,56,1100,11577896623,1166
2012,59:26.2,Defense,NULL,Zero value,Zero value,Zero value,2761,3830,0,3855
2010,59:26.2,Defense,ORG-2941,$5 - <$25 million,$250 thousand - <$1 million,Zero value,1,10,5929353.31,16
2011,59:26.2,Defense,ORG-2834,Zero value,NULL,$1 - <$5 million,8,25,0,NULL
2008,59:26.2,Defense,ORG-2943,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,10,81,2266515218,81
2006,59:26.2,Defense,ORG-2875,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,30,49,2981475.93,49
2009,59:26.2,Defense,ORG-2777,Zero value,NULL,Zero value,17,18,0,NULL
2012,59:26.2,Defense,ORG-2838,$5 - <$25 million,$5 - <$25 million,Deobligation,2,26,14894003.94,26
2013,59:26.2,Defense,ORG-2875,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,8,12,15344242.74,12
2013,59:26.2,Defense,ORG-2777,Zero value,NULL,Less than $250 thousand,31,80,0,NULL
2012,59:26.2,Defense,ORG-2838,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,1,5,9172404.92,5
2008,59:26.2,Defense,ORG-2838,Zero value,NULL,$250 thousand - <$1 million,16,18,0,NULL
2010,59:26.2,Defense,ORG-2944,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,1,11,8777709.28,24
2001,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,Zero value,Zero value,40,60,22499406,66
2006,59:26.2,Defense,ORG-2936,$5 - <$25 million,$5 - <$25 million,Zero value,2,15,46469814.68,19
2014,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,207,407,105997933.7,408
2014,59:26.2,Defense,ORG-2941,Less than $250 thousand,$250 thousand - <$1 million,Zero value,5,17,856574.1545,17
2005,59:26.2,Defense,ORG-2943,Zero value,$5 - <$25 million,$5 - <$25 million,1,1,0,1
2014,59:26.2,Defense,ORG-2825,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,9,63,494339700.5,75
2010,59:26.2,Defense,ORG-2936,Zero value,NULL,$5 - <$25 million,50,129,0,NULL
2010,59:26.2,Defense,ORG-2937,Zero value,Zero value,Zero value,5345,7789,0,7908
2009,59:26.2,Defense,ORG-2839,Less than $250 thousand,Zero value,Zero value,24,38,962772.22,38
2014,59:26.2,Defense,ORG-2836,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,7,35,3236369.592,35
2011,59:26.2,Defense,ORG-2773,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1,5,214042.56,5
2010,59:26.2,Defense,ORG-2869,Zero value,$5 - <$25 million,$5 - <$25 million,1,5,0,5
2006,59:26.2,Defense,ORG-2941,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,3,5,123166,8
2004,59:26.2,Defense,ORG-2945,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,3,236000,3
2007,59:26.2,Defense,ORG-2791,Zero value,Zero value,Zero value,167,269,0,269
2011,59:26.2,Defense,ORG-2882,$1 - <$5 million,Zero value,Zero value,9,26,15416925.54,26
2004,59:26.2,Defense,ORG-2943,$25 - <$100 million,Zero value,Zero value,11,78,602291808.7,78
2014,59:26.2,Defense,ORG-2882,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,1,2,5212413.92,2
2010,59:26.2,Defense,ORG-2940,$1 - <$5 million,$1 - <$5 million,Deobligation,4,16,8207340.42,16
2014,59:26.2,Defense,ORG-2937,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,7,7,0,7
2014,59:26.2,Defense,ORG-2944,Less than $250 thousand,$250 thousand - <$1 million,Deobligation,2,6,359395.7734,6
2006,59:26.2,Defense,ORG-2874,Zero value,NULL,$100 - <$500 million,3,3,0,NULL
2013,59:26.2,Defense,ORG-2939,Less than $250 thousand,Less than $250 thousand,Deobligation,2,4,329329.3052,4
2012,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,2,461930.64,2
2012,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,1,3,332957.36,3
2007,59:26.2,Defense,ORG-2775,Zero value,Less than $250 thousand,Less than $250 thousand,3,6,0,6
2013,59:26.2,Defense,ORG-2871,$1 - <$5 million,$1 - <$5 million,Zero value,9,40,19856804.88,40
2011,59:26.2,Defense,ORG-2844,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,4,28,9613410.47,28
2003,59:26.2,Defense,ORG-2876,Zero value,NULL,Greater than $500 million,1,1,0,NULL
2009,59:26.2,Defense,ORG-2845,Zero value,Zero value,$250 thousand - <$1 million,1,1,0,1
2008,59:26.2,Defense,ORG-2841,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,96,160,5720178.15,188
2013,59:26.2,Defense,ORG-2872,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,2,8,68700,8
2012,59:26.2,Defense,ORG-2825,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,1,32,267106679.4,32
2006,59:26.2,Defense,ORG-2871,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,1,1,182000,1
2009,59:26.2,Defense,ORG-2836,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,1,2,50000,2
2006,59:26.2,Defense,ORG-2876,$25 - <$100 million,$100 - <$500 million,Zero value,1,24,32727597.2,24
2005,59:26.2,Defense,ORG-2843,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,1,3,21466038,3
2010,59:26.2,Defense,ORG-2941,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,8,304,336415373.8,347
2009,59:26.2,Defense,ORG-2791,$5 - <$25 million,Zero value,Zero value,1,7,7196282,7
2013,59:26.2,Defense,ORG-2937,Zero value,$250 thousand - <$1 million,$1 - <$5 million,2,2,0,2
2011,59:26.2,Defense,ORG-2871,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,5,29,7434454.17,29
2004,59:26.2,Defense,ORG-2825,Less than $250 thousand,Zero value,Less than $250 thousand,2,2,21749.8,2
2004,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1,2,309996,2
2014,59:26.2,Defense,ORG-2871,$5 - <$25 million,$5 - <$25 million,Zero value,3,22,33838598.84,22
2010,59:26.2,Defense,ORG-2844,Zero value,NULL,$5 - <$25 million,6,24,0,NULL
2012,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,Zero value,2,8,1710635.09,9
2008,59:26.2,Defense,ORG-2836,Zero value,Deobligation,Deobligation,1,1,0,1
2011,59:26.2,Defense,ORG-2944,Zero value,$1 - <$5 million,$1 - <$5 million,1,3,0,3
2014,59:26.2,Defense,ORG-2941,$25 - <$100 million,Zero value,Zero value,7,123,325396500,131
2008,59:26.2,Defense,ORG-2869,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,7,15,20212820.46,15
2008,59:26.2,Defense,ORG-2834,Greater than $500 million,$5 - <$25 million,$25 - <$100 million,1,17,528332123,17
2009,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,1,4,497003,4
2008,59:26.2,Defense,NULL,Less than $250 thousand,$1 - <$5 million,$25 - <$100 million,1,1,246913.58,1
2009,59:26.2,Defense,ORG-2869,Zero value,Zero value,Deobligation,1,1,0,1
2014,59:26.2,Defense,ORG-2940,$5 - <$25 million,$5 - <$25 million,Deobligation,1,9,8169957,9
2014,59:26.2,Defense,ORG-2843,Less than $250 thousand,Less than $250 thousand,Deobligation,135,423,12265847.59,423
2001,59:26.2,Defense,ORG-2877,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,20000,1
2011,59:26.2,Defense,ORG-2869,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,1,2,5889920.74,2
2009,59:26.2,Defense,ORG-2878,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,2,7,6879257.42,7
2007,59:26.2,Defense,ORG-2835,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,27,57,3209204,57
2013,59:26.2,Defense,ORG-2787,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,70079,77360,1683420607,77408
2006,59:26.2,Defense,ORG-2834,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,2,4,220052654,4
2014,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$1 - <$5 million,Zero value,3,10,1461583.18,10
2005,59:26.2,Defense,ORG-2837,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,1,1,95499,1
2014,59:26.2,Defense,ORG-2787,Zero value,NULL,$250 thousand - <$1 million,617,681,0,NULL
2009,59:26.2,Defense,ORG-2936,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,10,11,1347459.47,11
2009,59:26.2,Defense,ORG-2882,Zero value,Less than $250 thousand,Zero value,2,2,0,2
2009,59:26.2,Defense,ORG-2785,Zero value,NULL,$5 - <$25 million,9,9,0,NULL
2011,59:26.2,Defense,ORG-2936,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,5,64,240658846.4,72
2007,59:26.2,Defense,ORG-2777,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,43,192,20256115.02,192
2004,59:26.2,Defense,NULL,Zero value,NULL,$1 - <$5 million,38,39,0,NULL
2007,59:26.2,Defense,ORG-2775,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,3,6,35038977.88,6
2013,59:26.2,Defense,ORG-2877,Zero value,NULL,$1 - <$5 million,335,602,0,NULL
2009,59:26.2,Defense,ORG-2835,Less than $250 thousand,Less than $250 thousand,Deobligation,89,235,8017526.87,235
2009,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,5,8,38857240.73,8
2014,59:26.2,Defense,ORG-2942,Deobligation,Deobligation,Deobligation,15,19,-54996230.23,20
2013,59:26.2,Defense,NULL,Zero value,$5 - <$25 million,$5 - <$25 million,8,16,0,16
2004,59:26.2,Defense,ORG-2825,Zero value,NULL,$1 - <$5 million,3,3,0,NULL
2013,59:26.2,Defense,ORG-2774,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,5,13,720209.7169,13
2005,59:26.2,Defense,ORG-2839,Zero value,Zero value,Zero value,11,22,0,22
2007,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,18,114,11623737.47,125
2011,59:26.2,Defense,ORG-4383,Zero value,NULL,$250 thousand - <$1 million,13,40,0,NULL
2005,59:26.2,Defense,ORG-2873,$5 - <$25 million,Zero value,Zero value,23,65,228568155,65
2006,59:26.2,Defense,ORG-2843,$5 - <$25 million,Zero value,Zero value,46,207,498291741.8,207
2007,59:26.2,Defense,ORG-2880,$1 - <$5 million,$1 - <$5 million,Zero value,2,6,6049241,6
2009,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,Zero value,Zero value,41,158,21643775.13,158
2008,59:26.2,Defense,ORG-2937,Zero value,Zero value,Zero value,7687,10696,0,11536
2008,59:26.2,Defense,ORG-2878,Zero value,NULL,$1 - <$5 million,2,5,0,NULL
2014,59:26.2,Defense,ORG-2790,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1773,1902,97775362.9,1902
2004,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,1,4,573400,4
2008,59:26.2,Defense,ORG-2876,$250 thousand - <$1 million,Deobligation,Deobligation,20,55,9309506.6,55
2005,59:26.2,Defense,ORG-2943,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,9,10,20217537,10
2009,59:26.2,Defense,ORG-2844,Deobligation,Zero value,Zero value,104,118,-4447046.46,118
2009,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,15,61,8875766.81,61
2009,59:26.2,Defense,ORG-2877,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,4,30,7520827.45,30
2006,59:26.2,Defense,ORG-2876,Less than $250 thousand,Less than $250 thousand,Zero value,263,559,16374035.97,563
2009,59:26.2,Defense,ORG-2843,Zero value,Less than $250 thousand,Zero value,1,2,0,2
2003,59:26.2,Defense,ORG-2876,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,1,2,4608918,2
2005,59:26.2,Defense,ORG-2872,Zero value,NULL,$250 thousand - <$1 million,13,13,0,NULL
2010,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,2,8,1352051,8
2004,59:26.2,Defense,ORG-2937,Zero value,NULL,$100 - <$500 million,1,1,0,NULL
2013,59:26.2,Defense,ORG-2880,Zero value,Zero value,Zero value,83,107,0,107
2011,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,467,886,227449810.9,1964
2007,59:26.2,Defense,ORG-2880,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,7,36,85478259.45,36
2006,59:26.2,Defense,ORG-2825,Greater than $500 million,Zero value,Zero value,8,280,10165216393,297
2013,59:26.2,Defense,ORG-2944,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,6151,7918,370280559.7,7918
2014,59:26.2,Defense,ORG-3960,$250 thousand - <$1 million,$1 - <$5 million,Zero value,1,2,770583,2
2014,59:26.2,Defense,ORG-2941,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,35,122,74090156.39,122
2013,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,$1 - <$5 million,Zero value,2,11,1218405,11
2010,59:26.2,Defense,ORG-2774,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,1,7,7959,7
2012,59:26.2,Defense,ORG-2937,$1 - <$5 million,$25 - <$100 million,Greater than $500 million,1,1,1665000,1
